CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1699,      3386,1,        43,        68,   220437.7968750000,  4369364.0000000000,      3465,2,        44,        68,   220437.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1700,      3386,1,        43,        68,   220437.7968750000,  4369364.0000000000,      3387,1,        43,        69,   220527.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1701,      3406,1,        44,         9,   215127.7968750000,  4369274.0000000000,      3485,1,        45,         9,   215127.7968750000,  4369184.0000000000,0.500000000000,         0,         0
      1702,      3406,1,        44,         9,   215127.7968750000,  4369274.0000000000,      3407,1,        44,        10,   215217.7968750000,  4369274.0000000000,0.500000000000,         0,         0
      1703,      3407,1,        44,        10,   215217.7968750000,  4369274.0000000000,      3486,1,        45,        10,   215217.7968750000,  4369184.0000000000,0.500000000000,         0,         0
      1704,      3407,1,        44,        10,   215217.7968750000,  4369274.0000000000,      3408,1,        44,        11,   215307.7968750000,  4369274.0000000000,0.500000000000,         0,         0
      1705,      3408,1,        44,        11,   215307.7968750000,  4369274.0000000000,      3329,1,        43,        11,   215307.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1706,      3408,1,        44,        11,   215307.7968750000,  4369274.0000000000,      3487,1,        45,        11,   215307.7968750000,  4369184.0000000000,0.333333343267,         0,         0
      1707,      3408,1,        44,        11,   215307.7968750000,  4369274.0000000000,      3409,1,        44,        12,   215397.7968750000,  4369274.0000000000,0.333333343267,         0,         0
      1708,      3409,1,        44,        12,   215397.7968750000,  4369274.0000000000,      3330,1,        43,        12,   215397.7968750000,  4369364.0000000000,0.333333343267,         0,         0
      1709,      3409,1,        44,        12,   215397.7968750000,  4369274.0000000000,      3488,1,        45,        12,   215397.7968750000,  4369184.0000000000,0.333333343267,         0,         0
      1710,      3409,1,        44,        12,   215397.7968750000,  4369274.0000000000,      3410,1,        44,        13,   215487.7968750000,  4369274.0000000000,0.333333343267,         0,         0
